model,accuracy,precision,recall,specificity,f1,auc_roc,auc_pr,brier,ece
SVM,0.9625,0.9579,0.9681,0.9568,0.963,0.9963,0.9963,0.0236,0.0266
Random Forest,0.8874,0.8967,0.8777,0.8973,0.8871,0.9516,0.9543,0.1027,0.1282
