epoch,phase,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,1,0.5549419684344173,0.711405529953917,0.46975606487643334,0.7956989247311828,0.8814754856614246,0.001
2,1,0.464004945095783,0.788594470046083,0.41688244573531613,0.8198924731182796,0.9008441258094356,0.001
3,1,0.43904089707932714,0.7960829493087558,0.39381742861963087,0.8225806451612904,0.9138818223866789,0.001
4,1,0.4205204539584674,0.8139400921658986,0.372657700411735,0.8225806451612904,0.9190275208140611,0.001
5,1,0.42365745410391814,0.8052995391705069,0.36543938485524985,0.8306451612903226,0.9249537465309898,0.001
6,1,0.4040836436407907,0.8179723502304147,0.3540884575215719,0.8387096774193549,0.93027289546716,0.001
7,1,0.41140506564197454,0.8150921658986175,0.3450620498067589,0.8413978494623656,0.9331926456984274,0.001
8,1,0.4017959525508265,0.8110599078341014,0.34361548801904085,0.8306451612903226,0.9307643385753932,0.001
9,1,0.39633040274343184,0.8231566820276498,0.343604146953552,0.8413978494623656,0.9322386679000925,0.001
10,1,0.3899573895239061,0.8248847926267281,0.3430046426352634,0.8413978494623656,0.93090888066605,0.001
1,2,0.3764739964964203,0.8289170506912442,0.33224621895820866,0.8494623655913979,0.9347826086956522,1e-05
2,2,0.3628857789501067,0.842741935483871,0.31465753800766444,0.8602150537634409,0.9417784458834413,1e-05
3,2,0.3640594606025977,0.8433179723502304,0.30993319422967974,0.8602150537634409,0.9463748843663274,1e-05
4,2,0.3382970185323794,0.8519585253456221,0.3021353430324985,0.8736559139784946,0.9501329787234042,1e-05
5,2,0.3369114239644345,0.8508064516129032,0.2833649053048062,0.8736559139784946,0.9537465309898243,1e-05
6,2,0.330995737407614,0.8554147465437788,0.27556611869924813,0.8817204301075269,0.9575913506012951,1e-05
7,2,0.3157130180416019,0.8600230414746544,0.2715218469340314,0.8897849462365591,0.9571288159111933,1e-05
8,2,0.3192880216831436,0.8548387096774194,0.27063244709404566,0.8790322580645161,0.9580827937095282,1e-05
9,2,0.2937599865522253,0.875,0.25885512591690146,0.8897849462365591,0.9608001850138761,1e-05
10,2,0.2869074600083487,0.8738479262672811,0.24786664625649812,0.8951612903225806,0.9662349676225717,1e-05
11,2,0.2848546458279482,0.8790322580645161,0.2426715228826769,0.9032258064516129,0.9657435245143385,1e-05
12,2,0.2768416737081818,0.886520737327189,0.23847378918560602,0.9086021505376344,0.9669287696577243,1e-05
13,2,0.2618440631347867,0.8876728110599078,0.23972991861963786,0.9005376344086021,0.968518732654949,1e-05
14,2,0.26953151533680575,0.8830645161290323,0.2274972024143383,0.9139784946236559,0.970195420906568,1e-05
15,2,0.25033089875625575,0.8986175115207373,0.21943960923661468,0.9086021505376344,0.9725659111933396,1e-05
16,2,0.24373402051661971,0.9032258064516129,0.20560260541656966,0.9086021505376344,0.9753700277520814,1e-05
17,2,0.24113080550998037,0.896889400921659,0.21072114379175247,0.9139784946236559,0.9741558741905643,1e-05
18,2,0.219421552073571,0.9055299539170507,0.20062190198129223,0.9112903225806451,0.9770467160037003,1e-05
19,2,0.2359289027029468,0.9032258064516129,0.19626397030648365,0.9220430107526881,0.9779428769657723,1e-05
20,2,0.2161036449643324,0.9101382488479263,0.21487826381319314,0.9193548387096774,0.9788390379278447,1e-05
21,2,0.20918570122411173,0.9164746543778802,0.1919696902235349,0.9247311827956989,0.9793882978723405,1e-05
22,2,0.21143684560252773,0.9170506912442397,0.18822813939343216,0.9220430107526881,0.9791281221091581,1e-05
23,2,0.1923082545056321,0.9176267281105991,0.1961418299745488,0.9166666666666666,0.9781741443108233,1e-05
24,2,0.20308281034917874,0.9193548387096774,0.18168769800855267,0.9247311827956989,0.9814118871415356,1e-05
25,2,0.21146737306898092,0.9078341013824884,0.17395626785614157,0.9247311827956989,0.9822791396854764,1e-05
26,2,0.17908721983707446,0.9279953917050692,0.17230686529349254,0.9327956989247311,0.9838980111008325,1e-05
27,2,0.18438044739758364,0.9228110599078341,0.16505029196700743,0.9327956989247311,0.9845629047178539,1e-05
28,2,0.17136328382426144,0.9377880184331797,0.1692220458099919,0.9274193548387096,0.9832331174838114,1e-05
29,2,0.17384583897854325,0.9302995391705069,0.169072235784223,0.9274193548387096,0.9826260407030528,1e-05
30,2,0.1739975503787467,0.9320276497695853,0.1662291353268008,0.9274193548387096,0.9839847363552268,1e-05
